'Ab_set_id','Category','P-Angles'
33,'free_redund_count',5
34,'free_redund_count',2
35,'free_redund_count',3
36,'free_redund_count',1
37,'free_redund_count',1
38,'free_redund_count',1
39,'free_redund_count',2
40,'free_redund_count',4
41,'free_redund_count',2
42,'free_redund_count',1
43,'free_redund_count',2
44,'free_redund_count',1
45,'free_redund_count',3
46,'free_redund_count',2
47,'free_redund_count',4
48,'free_redund_count',1
49,'free_redund_count',1
50,'free_redund_count',1
51,'free_redund_count',5
52,'free_redund_count',1
53,'free_redund_count',4
54,'free_redund_count',1
55,'free_redund_count',7
56,'free_redund_count',1
57,'free_redund_count',1
58,'free_redund_count',1
59,'free_redund_count',4
60,'free_redund_count',1
61,'free_redund_count',1
62,'free_redund_count',2
63,'free_redund_count',1
64,'free_redund_count',1
65,'free_redund_count',4
66,'free_redund_count',3
1,'complex_redund_count',3
2,'complex_redund_count',7
3,'complex_redund_count',5
4,'complex_redund_count',3
5,'complex_redund_count',4
6,'complex_redund_count',3
7,'complex_redund_count',7
8,'complex_redund_count',3
9,'complex_redund_count',4
10,'complex_redund_count',4
11,'complex_redund_count',4
12,'complex_redund_count',19
13,'complex_redund_count',2
14,'complex_redund_count',6
15,'complex_redund_count',11
16,'complex_redund_count',3
17,'complex_redund_count',3
18,'complex_redund_count',4
19,'complex_redund_count',1
20,'complex_redund_count',11
21,'complex_redund_count',4
22,'complex_redund_count',4
23,'complex_redund_count',3
24,'complex_redund_count',6
25,'complex_redund_count',2
26,'complex_redund_count',6
27,'complex_redund_count',3
28,'complex_redund_count',3
29,'complex_redund_count',6
30,'complex_redund_count',5
31,'complex_redund_count',2
32,'complex_redund_count',3
33,'complex_redund_count',15
34,'complex_redund_count',2
35,'complex_redund_count',2
36,'complex_redund_count',3
37,'complex_redund_count',3
38,'complex_redund_count',4
39,'complex_redund_count',5
40,'complex_redund_count',11
41,'complex_redund_count',12
42,'complex_redund_count',5
43,'complex_redund_count',2
44,'complex_redund_count',3
45,'complex_redund_count',1
46,'complex_redund_count',2
47,'complex_redund_count',2
48,'complex_redund_count',3
49,'complex_redund_count',6
50,'complex_redund_count',4
51,'complex_redund_count',5
52,'complex_redund_count',4
53,'complex_redund_count',2
54,'complex_redund_count',3
55,'complex_redund_count',3
56,'complex_redund_count',3
57,'complex_redund_count',6
58,'complex_redund_count',3
59,'complex_redund_count',12
60,'complex_redund_count',3
61,'complex_redund_count',4
62,'complex_redund_count',4
63,'complex_redund_count',5
64,'complex_redund_count',4
65,'complex_redund_count',12
66,'complex_redund_count',1
1,'all_median',-47.02759
2,'all_median',-38.76511
3,'all_median',-46.78842
4,'all_median',-48.09148
5,'all_median',-50.52116
6,'all_median',-46.72758
7,'all_median',-44.30922
8,'all_median',-43.40653
9,'all_median',-47.94524
10,'all_median',-45.7672
11,'all_median',-45.22422
12,'all_median',-45.89143
13,'all_median',-48.44351
14,'all_median',-46.1908
15,'all_median',-43.01233
16,'all_median',-46.7916
17,'all_median',-44.3759
