Ab_set_id,Data_set,Mean,Redundancy,Median
13,All_redund_(7+),-48.38157,33,
14,All_redund_(7+),-46.39731,7,
15,All_redund_(7+),-42.95501,14,
20,All_redund_(7+),-44.72361,15,
21,All_redund_(7+),-42.35117,7,
22,All_redund_(7+),-44.08819,7,
24,All_redund_(7+),-44.94924,8,
26,All_redund_(7+),-48.79216,7,
29,All_redund_(7+),-45.5405,7,
30,All_redund_(7+),-44.61245,7,
33,All_redund_(7+),-44.36808,20,
39,All_redund_(7+),-46.90014,7,
40,All_redund_(7+),-44.21646,15,
41,All_redund_(7+),-47.95079,14,
49,All_redund_(7+),-44.08829,7,
51,All_redund_(7+),-42.53223,10,
55,All_redund_(7+),-44.27024,10,
59,All_redund_(7+),-44.79962,16,
65,All_redund_(7+),-44.79962,16,
