,0%,25%,median,75%,100%
quantile(ag_28),-41.44787,-41.27889,-40.7342,-40.20444,-40.08025
quantile(ag_29),-48.24259,-46.38968,-44.81053,-44.50267,-43.94571
quantile(ag_30),-46.50957,-46.32818,-45.98763,-43.35069,-40.43221
quantile(ag_31),-42.71642,-42.39497,-42.13331,-41.93729,-41.81275
quantile(ag_32),-51.25127,-45.76861,-43.90581,-43.78071,-43.51115
quantile(ag_33),-47.05635,-45.04801,-43.9673,-43.47763,-42.79363
quantile(ag_34),-45.43772,-44.2676,-41.70598,-39.49168,-39.36345
quantile(ag_35),-45.26379,-44.55664,-38.44436,-37.35585,-36.90175
quantile(ag_36),-47.93799,-47.71576,-47.57167,-47.48268,-47.42574
quantile(ag_37),-43.78645,-40.75114,-39.46654,-39.02621,-38.52375
quantile(ag_38),-51.40038,-50.30888,-46.87822,-46.4519,-43.64212
quantile(ag_39),-50.17154,-48.10123,-47.34017,-45.98494,-42.61692
quantile(ag_40),-46.90432,-44.55685,-43.94945,-43.32087,-42.79363
quantile(ag_41),-49.07361,-48.14596,-47.92769,-47.62123,-47.02251
quantile(ag_42),-47.443,-46.85442,-46.46495,-46.10964,-45.94102
quantile(ag_43),-51.97095,-51.24928,-50.83768,-50.58592,-50.34377
quantile(ag_44),-44.78561,-44.67015,-44.36975,-43.8252,-42.97726
quantile(ag_45),-48.98551,-48.4602,-47.20031,-46.02597,-45.75732
quantile(ag_46),-53.1222,-50.26169,-48.98305,-47.70126,-44.83133
quantile(ag_47),-50.06834,-49.31881,-47.88606,-47.29569,-46.65864
quantile(ag_48),-45.53985,-44.57982,-43.99738,-43.6979,-43.58676
quantile(ag_49),-46.48997,-44.61738,-44.33084,-43.3711,-41.8203
quantile(ag_50),-45.03729,-43.99949,-43.89544,-43.8811,-43.59473
quantile(ag_51),-44.66877,-42.85593,-42.33794,-42.01556,-41.48213
quantile(ag_52),-49.02677,-48.95683,-47.41072,-47.085,-46.37633
quantile(ag_53),-49.00413,-48.68941,-47.80129,-46.99893,-45.0229
quantile(ag_54),-52.2028,-51.05432,-47.17719,-43.63193,-43.4791
quantile(ag_55),-52.14261,-45.36324,-43.40653,-41.93582,-41.20227
quantile(ag_56),-49.7238,-49.23152,-46.98076,-44.84986,-44.71715
quantile(ag_57),-49.50989,-49.28196,-49.0581,-48.28531,-47.84262
quantile(ag_58),-49.93557,-47.89286,-46.42161,-45.60492,-45.52587
quantile(ag_59),-46.87256,-45.453,-44.96431,-44.13222,-42.50527
quantile(ag_60),-50.73841,-50.58733,-48.34772,-45.66336,-44.178
quantile(ag_61),-47.28973,-46.44255,-45.95999,-43.76824,-42.84617
quantile(ag_62),-54.94264,-50.10825,-48.28949,-47.53592,-46.8535
quantile(ag_63),-54.17737,-53.26223,-51.6894,-51.32337,-49.56932
quantile(ag_64),-44.98899,-44.81053,-44.68212,-44.32321,-43.94571
quantile(ag_65),-46.87256,-45.453,-44.96431,-44.13222,-42.50527
quantile(ag_66),-49.34996,-49.16275,-49.03071,-48.88472,-48.65566
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,quantile(ag_1),,,
,,quantile(ag_2),,,
,,quantile(ag_3),,,
,,quantile(ag_4),,,
,,quantile(ag_5),,,
,,quantile(ag_6),,,
,,quantile(ag_7),,,
,,quantile(ag_8),,,
,,quantile(ag_9),,,
,,quantile(ag_10),,,
,,quantile(ag_11),,,
,,quantile(ag_12),,,
,,quantile(ag_13),,,
,,quantile(ag_14),,,
,,quantile(ag_15),,,
,,quantile(ag_16),,,
,,quantile(ag_17),,,
,,quantile(ag_18),,,
,,quantile(ag_19),,,
,,quantile(ag_20),,,
,,quantile(ag_21),,,
,,quantile(ag_22),,,
,,quantile(ag_23),,,
,,quantile(ag_24),,,
,,quantile(ag_25),,,
,,quantile(ag_26),,,
,,quantile(ag_27),,,
,,quantile(ag_28),,,
,,quantile(ag_29),,,
,,quantile(ag_30),,,
,,quantile(ag_31),,,
,,quantile(ag_32),,,
,,quantile(ag_33),,,
,,quantile(ag_34),,,
,,quantile(ag_35),,,
,,quantile(ag_36),,,
,,quantile(ag_37),,,
,,quantile(ag_38),,,
,,quantile(ag_39),,,
,,quantile(ag_40),,,
,,quantile(ag_41),,,
,,quantile(ag_42),,,
,,quantile(ag_43),,,
,,quantile(ag_44),,,
,,quantile(ag_45),,,
,,quantile(ag_46),,,
,,quantile(ag_47),,,
,,quantile(ag_48),,,
,,quantile(ag_49),,,
,,quantile(ag_50),,,
,,quantile(ag_51),,,
,,quantile(ag_52),,,
,,quantile(ag_53),,,
,,quantile(ag_54),,,
,,quantile(ag_55),,,
,,quantile(ag_56),,,
,,quantile(ag_57),,,
,,quantile(ag_58),,,
,,quantile(ag_59),,,
,,quantile(ag_60),,,
,,quantile(ag_61),,,
,,quantile(ag_62),,,
,,quantile(ag_63),,,
,,quantile(ag_64),,,
,,quantile(ag_65),,,
,,quantile(ag_66),,,
