Ab_set_id,data_set,mean,range,sd,redundancy,median
54,All_redund_4to6,-47.50907,8.723699,4.5793905,4,
55,All_redund_4to6,,,,,
56,All_redund_4to6,-47.10062,5.006646,2.6645233,4,
57,All_redund_4to6,,,,,
58,All_redund_4to6,-47.07617,4.409698,2.0563542,4,
59,All_redund_4to6,,,,,
60,All_redund_4to6,-47.90297,6.560409,3.260688,4,
61,All_redund_4to6,-45.26134,4.443557,1.8748411,5,
62,All_redund_4to6,-49.39572,8.089146,3.020829,6,
63,All_redund_4to6,-52.01889,4.608055,1.7012891,6,
64,All_redund_4to6,-44.55011,1.04328,0.4167273,5,
65,All_redund_4to6,,,,,
66,All_redund_4to6,-49.01676,0.694306,0.289543,4,
1,All_redund_7plus,,,,,
2,All_redund_7plus,-39.7591,5.423115,2.0208037,8,
3,All_redund_7plus,,,,,
4,All_redund_7plus,,,,,
5,All_redund_7plus,,,,,
6,All_redund_7plus,,,,,
7,All_redund_7plus,-44.36004,3.506402,1.4302644,10,
8,All_redund_7plus,-44.27024,10.940336,3.3132728,10,
9,All_redund_7plus,,,,,
10,All_redund_7plus,-46.12683,3.795474,1.4226085,8,
11,All_redund_7plus,,,,,
12,All_redund_7plus,-45.95461,4.43404,0.8539609,20,
13,All_redund_7plus,-48.38157,2.198458,0.4805259,33,
14,All_redund_7plus,-46.39731,3.293656,1.0852495,7,
15,All_redund_7plus,-42.95501,2.723332,0.67355,14,
16,All_redund_7plus,,,,,
17,All_redund_7plus,,,,,
18,All_redund_7plus,,,,,
19,All_redund_7plus,,,,,
20,All_redund_7plus,-44.72361,4.367285,1.0792269,15,
21,All_redund_7plus,-42.35117,4.042282,1.2578985,7,
22,All_redund_7plus,-44.08819,8.54651,2.7942486,7,
23,All_redund_7plus,,,,,
24,All_redund_7plus,-44.94924,4.552725,1.8854439,8,
25,All_redund_7plus,,,,,
26,All_redund_7plus,-48.79216,1.66727,0.6679725,7,
27,All_redund_7plus,,,,,
28,All_redund_7plus,,,,,
29,All_redund_7plus,-45.5405,4.296886,1.7302306,7,
30,All_redund_7plus,-44.61245,6.077366,2.3239004,7,
31,All_redund_7plus,,,,,
32,All_redund_7plus,,,,,
33,All_redund_7plus,-44.36808,4.262727,1.3214668,20,
34,All_redund_7plus,,,,,
35,All_redund_7plus,,,,,
36,All_redund_7plus,,,,,
37,All_redund_7plus,,,,,
38,All_redund_7plus,,,,,
39,All_redund_7plus,-46.90014,7.554617,2.4991428,7,
40,All_redund_7plus,-44.21646,4.110692,1.3011443,15,
41,All_redund_7plus,-47.95079,2.051094,0.5859999,14,
42,All_redund_7plus,,,,,
43,All_redund_7plus,,,,,
44,All_redund_7plus,,,,,
45,All_redund_7plus,,,,,
46,All_redund_7plus,,,,,
47,All_redund_7plus,,,,,
48,All_redund_7plus,,,,,
49,All_redund_7plus,-44.08829,4.669678,1.4599521,7,
50,All_redund_7plus,,,,,
51,All_redund_7plus,-42.53223,3.186637,0.8916901,10,
52,All_redund_7plus,,,,,
53,All_redund_7plus,,,,,
54,All_redund_7plus,,,,,
55,All_redund_7plus,-44.27024,10.940336,3.3132728,10,
56,All_redund_7plus,,,,,
57,All_redund_7plus,,,,,
58,All_redund_7plus,,,,,
59,All_redund_7plus,-44.79962,4.367285,1.0860547,16,
60,All_redund_7plus,,,,,
61,All_redund_7plus,,,,,
62,All_redund_7plus,,,,,
63,All_redund_7plus,,,,,
64,All_redund_7plus,,,,,
65,All_redund_7plus,-44.79962,4.367285,1.0860547,16,
66,All_redund_7plus,,,,,
